Spot Pairs,Order Type,Direction,feeCoin,ExecFeeV2,Filled Value,Filled Price,Filled Quantity,Fees,Transaction ID,Order No.,Timestamp (UTC)
ETHUSDT,LIMIT,BUY,ETH,0.00050454,1164.31014000000000000000,4153.80000000000000000000,0.28030000000000000000,0.00050454000000000000,2280000001389626351, 00616448,20:53 2025-10-12
ETHUSDT,LIMIT,BUY,ETH,0.00054,1246.14000000000000000000,4153.80000000000000000000,0.30000000000000000000,0.00054000000000000000,2280000001389626350, 00616448,20:53 2025-10-12
XRPUSDT,LIMIT,BUY,XRP,0.83303,2140.88710000000000000000,2.57000000000000000000,833.03000000000000000000,0.83303000000000000000,2260000001363196713, 75956736,20:53 2025-10-12
ONDOUSDT,LIMIT,BUY,ONDO,0.14576,120.25200000000000000000,0.82500000000000000000,145.76000000000000000000,0.14576000000000000000,2220000000794120130, 66981120,20:53 2025-10-12
ONDOUSDT,LIMIT,BUY,ONDO,1.02037,841.80525000000000000000,0.82500000000000000000,1020.37000000000000000000,1.02037000000000000000,2220000000794120129, 66981120,20:53 2025-10-12
ONDOUSDT,LIMIT,BUY,ONDO,0.61594,508.15050000000000000000,0.82500000000000000000,615.94000000000000000000,0.61594000000000000000,2220000000794120096, 66981120,20:53 2025-10-12
ONDOUSDT,LIMIT,BUY,ONDO,0.27,222.75000000000000000000,0.82500000000000000000,270.00000000000000000000,0.27000000000000000000,2220000000794120095, 66981120,20:53 2025-10-12
ONDOUSDT,LIMIT,BUY,ONDO,0.2697,222.50250000000000000000,0.82500000000000000000,269.70000000000000000000,0.26970000000000000000,2220000000794120094, 66981120,20:53 2025-10-12
ONDOUSDT,LIMIT,BUY,ONDO,0.27,222.75000000000000000000,0.82500000000000000000,270.00000000000000000000,0.27000000000000000000,2220000000794120090, 66981120,20:53 2025-10-12
ASTERUSDT,LIMIT,SELL,USDT,0.3636230796,202.01282200000000000000,1.21060000000000000000,166.87000000000000000000,0.36362307960000000000,2210000001111911127, 44965120,21:58 2025-10-11
ASTERUSDT,LIMIT,SELL,USDT,0.013510296,7.50572000000000000000,1.21060000000000000000,6.20000000000000000000,0.01351029600000000000,2210000001111911126, 44965120,21:58 2025-10-11
ASTERUSDT,LIMIT,SELL,USDT,0.013511412,7.50634000000000000000,1.21070000000000000000,6.20000000000000000000,0.01351141200000000000,2210000001111911125, 44965120,21:58 2025-10-11
ASTERUSDT,LIMIT,SELL,USDT,0.98728632,548.49240000000000000000,1.21080000000000000000,453.00000000000000000000,0.98728632000000000000,2210000001111911124, 44965120,21:58 2025-10-11
ETHUSDT,LIMIT,SELL,USDT,3.744252,3744.25200000000000000000,3748.00000000000000000000,0.99900000000000000000,3.74425200000000000000,2280000001385975301, 89413120,19:56 2025-10-11
XRPUSDT,LIMIT,SELL,USDT,1.0905995178,605.88862100000000000000,2.47130000000000000000,245.17000000000000000000,1.09059951780000000000,2260000001360646075, 16984832,16:30 2025-10-11
XRPUSDT,LIMIT,SELL,USDT,0.6869571462,381.64285900000000000000,2.47130000000000000000,154.43000000000000000000,0.68695714620000000000,2260000001360646074, 16984832,16:30 2025-10-11
LTCUSDT,LIMIT,BUY,LTC,0.012166902,647.34678030000000000000,95.77000000000000000000,6.75939000000000000000,0.01216690200000000000,2200000001051574024, 36766464,21:53 2025-10-10
LTCUSDT,LIMIT,BUY,LTC,0.002497158,132.86267870000000000000,95.77000000000000000000,1.38731000000000000000,0.00249715800000000000,2200000001051574023, 36766464,21:53 2025-10-10
LTCUSDT,LIMIT,BUY,LTC,0.00378801,201.50108750000000000000,95.75000000000000000000,2.10445000000000000000,0.00378801000000000000,2200000001051574022, 36766464,21:53 2025-10-10
XRPUSDT,LIMIT,BUY,XRP,0.4,960.00000000000000000000,2.40000000000000000000,400.00000000000000000000,0.40000000000000000000,2260000001355789515, 63874048,21:13 2025-10-10
ETHUSDT,LIMIT,BUY,ETH,0.001,4201.00000000000000000000,4201.00000000000000000000,1.00000000000000000000,0.00100000000000000000,2280000001378274804, 23675136,15:21 2025-10-10
ASTERUSDT,LIMIT,BUY,ASTER,0.63291,999.99780000000000000000,1.58000000000000000000,632.91000000000000000000,0.63291000000000000000,2210000001098094616, 42123264,14:26 2025-10-10
LTCUSDT,LIMIT,BUY,LTC,0.00000001,0.00133600000000000000,133.60000000000000000000,0.00001000000000000000,0.00000001000000000000,2200000001049457496, 68282368,14:23 2025-10-10
LTCUSDT,LIMIT,BUY,LTC,0.0044159,589.96424000000000000000,133.60000000000000000000,4.41590000000000000000,0.00441590000000000000,2200000001049457495, 68282368,14:23 2025-10-10
LTCUSDT,LIMIT,BUY,LTC,0.002628,351.10080000000000000000,133.60000000000000000000,2.62800000000000000000,0.00262800000000000000,2200000001049457494, 68282368,14:23 2025-10-10
LTCUSDT,LIMIT,BUY,LTC,0.00046923,62.68912800000000000000,133.60000000000000000000,0.46923000000000000000,0.00046923000000000000,2200000001049457491, 68282368,14:23 2025-10-10
ETHUSDT,LIMIT,SELL,USDT,2.4076866318,2407.68663180000000000000,4200.87000000000000000000,0.57314000000000000000,2.40768663180000000000,2280000001346696382, 85648640,08:10 2025-09-22
ETHUSDT,LIMIT,SELL,USDT,0.0241970112,24.19701120000000000000,4200.87000000000000000000,0.00576000000000000000,0.02419701120000000000,2280000001346696381, 85648640,08:10 2025-09-22
ETHUSDT,LIMIT,SELL,USDT,0.7499813211,749.98132110000000000000,4200.87000000000000000000,0.17853000000000000000,0.74998132110000000000,2280000001346696373, 85648640,08:10 2025-09-22
